source_addresses,recipient_address,amount_phmn,note
juno1vjymkucluukngrzyp3ykkdrj6mr6h7y02tkexs,cosmos1vjymkucluukngrzyp3ykkdrj6mr6h7y0ue4zpv,251.045453,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1q3sp4yxk3epf92sgs2l9tz84543kedpu90dx0x,cosmos1q3sp4yxk3epf92sgs2l9tz84543kedpunawag6,250.000000,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno10dcrsrn4ct7uyxcyd22euc8klj08q83ws49q83,cosmos10dcrsrn4ct7uyxcyd22euc8klj08q83wx8xmqd,243.858592,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1v85m4sxnndwmswtd8jrz3cd2m8u8eegq0gses0,cosmos1v85m4sxnndwmswtd8jrz3cd2m8u8eegqe6nzhn,241.444604,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1k506k73lfxnyhuctv3zzse4xlr0xqznj324602,cosmos1k506k73lfxnyhuctv3zzse4xlr0xqznj8ckpgk,203.465167,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1zwtv7pplzh7m3t4m2zel8c0q78qsyptv8eqnk6,cosmos1zwtv7pplzh7m3t4m2zel8c0q78qsyptv3trg3x,198.015274,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1yy0gundm8kdew6h5vl9yvam6hyh3kam76l99pq,cosmos1yy0gundm8kdew6h5vl9yvam6hyh3kam7vdx7xu,188.104134,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1hah5vw2lfam236c0fhe9et7zvdh7c6j890ph7s,cosmos1hah5vw2lfam236c0fhe9et7zvdh7c6j8nazvev,187.696808,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo1g3vcmcc5yk97dlt8rt56rjvgn4trztppp2xlj0,cosmos1g3vcmcc5yk97dlt8rt56rjvgn4trztppf340ya,186.433381,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1smq5tgpst86x7aawvvw05up6jnmygw4pz83qqh,cosmos1smq5tgpst86x7aawvvw05up6jnmygw4p54jm8t,183.834317,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1kaem9y5vkd5hw3tx0gt8gzf937pzu0w55x6u3d,cosmos1kaem9y5vkd5hw3tx0gt8gzf937pzu0w5z5e8k3,182.889995,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1eh50jml00xqxz27x6sh80ycgkvsjfq2mvwtqe7; osmo1eh50jml00xqxz27x6sh80ycgkvsjfq2mj8mtgs,cosmos1eh50jml00xqxz27x6sh80ycgkvsjfq2m6ugm7z,179.811992,Multiple source addresses normalize to the same Cosmos account bytes; their balances are combined into one recipient allocation. Snapshot allocation exceeds 100 PHMN.
osmo1tjr3f27v6lpj7jpnc82v8k44ujkmcfmmye7307,cosmos1tjr3f27v6lpj7jpnc82v8k44ujkmcfmmvzdpev,179.092558,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1fknflygrztkwf4tlnmk7q6g6xk4j62nrxy5dne,cosmos1fknflygrztkwf4tlnmk7q6g6xk4j62nrskhk59,176.063372,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1392vmkuqyzy4upqlwuu42nfq004gfgw2pyfwew,cosmos1392vmkuqyzy4upqlwuu42nfq004gfgw2hk247j,167.349578,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo1kumn723qfn39czdhaupmn748gukhe3386yatgg,cosmos1kumn723qfn39czdhaupmn748gukhe338jlwm76,166.124470,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo136fnpjpfsjcs2gvpsppgp3zcruuzn9kwxp7rf6,cosmos136fnpjpfsjcs2gvpsppgp3zcruuzn9kww6dnlg,163.264526,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1dl6z2z9d33mzu2d2x8mqehdackmt7ylfzgz9es,cosmos1dl6z2z9d33mzu2d2x8mqehdackmt7ylf56p77v,161.195272,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1sefn0da30juv928gj4anarq27vqq73v45c6uvv,cosmos1sefn0da30juv928gj4anarq27vqq73v4z2e8ts,159.202122,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1p9w0uum7vdceck204ls0ra3pq8s4y9gv7ddjlx,cosmos1p9w0uum7vdceck204ls0ra3pq8s4y9gvglwfc6,157.126089,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1pkm998xw4vtluu0k4agya7e6zf4rwxsl9lavuw,cosmos1pkm998xw4vtluu0k4agya7e6zf4rwxslnd7hmj,151.705008,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1a4wlux94xq5qfrh3493hezu6zdjsjw0n75ye60,cosmos1a4wlux94xq5qfrh3493hezu6zdjsjw0ngx8zan,151.509189,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1jywu9q4sny6nvddeu5ngzr8gsl2yddyry5xlff,cosmos1jywu9q4sny6nvddeu5ngzr8gsl2yddyrjx9yw4,150.758348,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo1ylvzfp3gzvn57suka2a0dxtfdumntx8yh6ll66,cosmos1ylvzfp3gzvn57suka2a0dxtfdumntx8ylpv0vg,147.280197,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno10h5qkujhw8jnztppngtjtg5wy2ma9xwqatwysu,cosmos10h5qkujhw8jnztppngtjtg5wy2ma9xwqtedlhq,146.539940,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo1slqv7yv45v4k3ccrvwv24u2scqn6hyrut7j5m69ygw3j66ayqnesxemawx,cosmos1slqv7yv45v4k3ccrvwv24u2scqn6hyrut7j5m69ygw3j66ayqnesnyr9eq,146.084861,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno1s46jmv3c05usk6yk50tyy8axc4t9rglrwrzzx3,cosmos1s46jmv3c05usk6yk50tyy8axc4t9rglrc3pepd,142.057754,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
juno18ru2sffd4u2al42s3ns6kefhdkcput7v55mru8,cosmos18ru2sffd4u2al42s3ns6kefhdkcput7vzxccmm,138.924050,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
osmo1ypxa63r79nl70yjfm0fl7dltq348a98724z7r4,cosmos1ypxa63r79nl70yjfm0fl7dltq348a987zw3w48,135.815424,Snapshot balance exceeds 100 PHMN; destination is the normalized Cosmos address for this source address.
