chain,layer,address,cosmos_address,denom,amount_micro,amount_phmn,tags,relation_notes,distribution_note
osmosis,current,osmo1ka85hfwgcqvfpktp3pra5jqmte5atqzhgepn8a,cosmos1ka85hfwgcqvfpktp3pra5jqmte5atqzhqzjr30,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,29136,0.029136,,,
osmosis,current,osmo1yxhwgqaezqqqnfx6djukd8cl3awq5angg5nyrm,cosmos1yxhwgqaezqqqnfx6djukd8cl3awq5angq0q54f,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,28841,0.028841,,,
osmosis,current,osmo17qdmjdumw4xawam4g46gtwzle5rd4zwyfqvvza,cosmos17qdmjdumw4xawam4g46gtwzle5rd4zwypmlu50,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,28350,0.028350,,,
osmosis,current,osmo1w4esnggj64svgq7vv48e6jda7a37zw0tdxa7kt,cosmos1w4esnggj64svgq7vv48e6jda7a37zw0t9awwqe,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,25498,0.025498,,,
osmosis,current,osmo1w0wejeg34ag5w686dre69l06x0y8796zvmz4yg,cosmos1w0wejeg34ag5w686dre69l06x0y8796zyq39j6,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,23715,0.023715,,,
osmosis,current,osmo1vwrruj48vk8q49a7g8z08284wlvm9s6el6c7ej,cosmos1vwrruj48vk8q49a7g8z08284wlvm9s6ehptw0q,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,23514,0.023514,,,
osmosis,current,osmo125l6y0jljdfjgslpyzprr79d8fmxae458sa7ww,cosmos125l6y0jljdfjgslpyzprr79d8fmxae450twwcu,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,22033,0.022033,,,
osmosis,current,osmo1r5dv24amcyvdxfcjjrw7m5ts324cavyufjl4g2,cosmos1r5dv24amcyvdxfcjjrw7m5ts324cavyupfv97c,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,21506,0.021506,,,
osmosis,current,osmo1m2hfx6kgryfq628a0gmpm6fp73cgsplkpjs4ry,cosmos1m2hfx6kgryfq628a0gmpm6fp73cgsplkffr94k,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,21206,0.021206,,,
osmosis,current,osmo1nra90utxlzgtdwft5w2d7pczlhl5gljdkx0a3d,cosmos1nra90utxlzgtdwft5w2d7pczlhl5gljd7aud8l,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,19907,0.019907,,,
osmosis,current,osmo1whxvftr26qhtmph7jwqlyphq6urdm9ec54nfwkv5h48kdw6zj52q63egv9,cosmos1whxvftr26qhtmph7jwqlyphq6urdm9ec54nfwkv5h48kdw6zj52q0vpsmr,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,19829,0.019829,,,
osmosis,current,osmo1p9q6p4zmdlz74vglnf20q3arf8lpxf8czhmtkz,cosmos1p9q6p4zmdlz74vglnf20q3arf8lpxf8c2vgmqs,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,19582,0.019582,,,
osmosis,current,osmo18q4a3ks98rstc4jp603jykjya9zxges3qlmn6ktnls5337taeahsdpss22,cosmos18q4a3ks98rstc4jp603jykjya9zxges3qlmn6ktnls5337taeahscuggav,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,18781,0.018781,,,
osmosis,current,osmo1c3j4wczg69tg7zm6d0qfjeajrl36f7mtn76yjq,cosmos1c3j4wczg69tg7zm6d0qfjeajrl36f7mtm9f5yj,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,13857,0.013857,,,
osmosis,current,osmo1je0qqgy7nfqu8f6wvh8s6nyx59m84cfqmwqxvc,cosmos1je0qqgy7nfqu8f6wvh8s6nyx59m84cfqn4nk62,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,12565,0.012565,,,
osmosis,current,osmo1fpnqmk2dcfhmujuutyy2smy2zam3txjjuv79lp,cosmos1fpnqmk2dcfhmujuutyy2smy2zam3txjj5hd4fn,ibc/D3B574938631B0A1BA704879020C696E514CFADAA7643CDE4BD5EB010BDE327B,12353,0.012353,,,
